Count_of_images:;109;;;;;;;;;;
Picture;Response;Number_of_dice;Results;;;;;;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103931.png;clustering;7D;2;1;6;5;3;3;10;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103940.png;correct;9D;1;1;2;2;2;2;1;1;5
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103949.png;clustering;8D;5;4;11;5;4;5;6;3;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103958.png;correct;9D;4;2;4;1;3;6;3;5;3
C://Users/acer/Pictures/Pictures/Screenshot_20221208-104017.png;correct;9D;6;3;1;4;2;6;4;3;4
C://Users/acer/Pictures/Pictures/Screenshot_20221208-104028.png;correct;9D;5;5;3;6;4;6;3;1;3
C://Users/acer/Pictures/Pictures/Screenshot_20221208-104037.png;clustering;8D;3;3;4;3;9;2;1;1;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-104046.png;correct;9D;6;5;3;6;2;2;1;5;4
C://Users/acer/Pictures/Pictures/Screenshot_20221208-104055.png;clustering;8D;11;6;1;4;6;2;4;6;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-104103.png;clustering;8D;3;9;2;4;4;1;5;6;
correct:;0,76146789;;;;;;;;;;
dot:;0;;;;;;;;;;
clustering:;0,23853211;;;;;;;;;;
both:;0;;;;;;;;;;
unknown:;0;;;;;;;;;;
